"id","code","name","note","user_type_id:id","reconcile","chart_template_id:id"
"account_account_1","1","Assets",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1","1-1","Current Assets",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01","1-1-01","Cash & Cash Equivalent",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01","1-1-01-01","Cash On Hand",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_001","1-1-01-01-001","Petty Cash Head Office",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_002","1-1-01-01-002","Petty Cash Factory",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_003","1-1-01-01-003","Petty Cash Aceh",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_004","1-1-01-01-004","Petty Cash Bali",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_005","1-1-01-01-005","Petty Cash Bandung",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_006","1-1-01-01-006","Petty Cash Bangka",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_007","1-1-01-01-007","Petty Cash Banjarmasin",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_008","1-1-01-01-008","Petty Cash Batam",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_009","1-1-01-01-009","Petty Cash Bekasi",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_010","1-1-01-01-010","Petty Cash Bogor",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_011","1-1-01-01-011","Petty Cash Cirebon",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_012","1-1-01-01-012","Petty Cash Jakarta",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_013","1-1-01-01-013","Petty Cash Jambi",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_014","1-1-01-01-014","Petty Cash Jember",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_015","1-1-01-01-015","Petty Cash Yogyakarta",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_016","1-1-01-01-016","Petty Cash Kediri",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_017","1-1-01-01-017","Petty Cash Lampung",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
"account_account_1_1_01_01_018","1-1-01-01-018","Petty Cash Makassar",,"account.data_account_type_liquidity","False","l10n_id_paragon_chart_template"
